date,AUD,GBP,BYR,DKK,USD,EUR,ISK,KZT,CAD,NOK,XDR,SGD,TRL,UAH,SEK,CHF,JPY,TRY,CNY,AZN,AMD,BGN,BRL,HUF,INR,KGS,LVL,LTL,MDL,PLN,RON,TJS,TMT,UZS,CZK,EEK,ZAR,KRW,BYN,HKD,VND,GEL,AED,EGP,IDR,QAR,NZD,THB,RSD
2003-01,17.9995,50.9631,0.0164252,4.47781,31.7844,33.2719,0.391433,0.203925,20.1767,4.56528,43.0545,18.2848,1.94e-05,5.9419,3.63035,22.8271,0.267816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02,18.7346,52.6447,0.0162562,4.62993,31.8345,34.429,0.411245,0.205576,20.8232,4.62583,43.6983,18.3146,1.932e-05,5.94182,3.74061,23.4508,0.266934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03,19.0984,49.8347,0.0159887,4.56797,31.5729,33.9409,0.404314,0.208194,21.1303,4.38312,43.3644,18.1631,1.975e-05,5.89454,3.71844,23.2017,0.268158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04,18.9536,49.5052,0.0156963,4.57416,31.3801,33.9815,0.408329,0.206202,21.379,4.30177,42.7695,17.7771,1.836e-05,5.85471,3.6784,23.011,0.262859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05,19.3922,49.6141,0.015331,4.65169,31.1021,34.5513,0.413867,0.204875,21.6062,4.41998,42.7862,17.5174,1.95e-05,5.77205,3.78371,22.8507,0.260334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06,20.0653,50.7159,0.0150078,4.91148,30.709,36.4669,0.427404,0.204125,22.4645,4.62116,43.4757,17.7386,2.137e-05,5.63882,3.98466,23.8405,0.259498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07,20.2823,50.1771,0.0147152,4.67319,30.3809,34.7223,0.39802,0.205946,22.5394,4.19278,42.5882,17.2599,2.142e-05,5.64921,3.77942,22.4429,0.253301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08,19.7874,48.8493,0.0145704,4.62058,30.2791,34.3395,0.391962,0.206358,21.6094,4.2024,42.3686,17.2158,2.123e-05,5.64751,3.74765,22.176,0.252242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09,19.5589,48.1316,0.0145172,4.46795,30.5036,33.2001,0.380249,0.206829,21.7774,4.00583,41.8214,17.3582,2.163e-05,5.67055,3.60328,21.5848,0.260559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10,20.833,51.1594,0.0144789,4.79305,30.6142,35.6043,0.400395,0.205656,22.6873,4.36971,43.2674,17.7053,2.195e-05,5.67897,3.98596,23.1225,0.276152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11,21.1143,50.7719,0.0140383,4.68112,29.9451,34.7992,0.391388,0.202923,22.7737,4.24182,43.0569,17.2376,2.019e-05,5.55465,3.84207,22.4527,0.275028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12,21.5308,51.0732,0.0138432,4.77109,29.7387,35.5021,0.397258,0.202809,22.7883,4.34459,42.8112,17.2378,2.022e-05,5.51687,3.93296,22.9341,0.272033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01,22.1233,52.4732,0.0135751,4.98064,29.4545,37.0979,0.412297,0.20567,22.7536,4.405,43.6109,17.315,2.096e-05,5.474,4.08268,23.7805,0.275456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02,21.7321,51.7303,0.0131915,4.74768,28.4937,35.3635,0.410276,0.204323,21.3917,4.02152,42.3804,16.761,2.103e-05,5.27896,3.84816,22.6356,0.269062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03,21.9884,53.0789,0.0132329,4.76276,28.5156,35.5076,0.408709,0.205098,21.2107,4.04982,42.2136,16.7601,2.146e-05,5.2939,3.84862,22.5188,0.261323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04,21.6515,52.3252,0.013261,4.6879,28.5151,34.9082,0.394127,0.205346,21.8758,4.15037,42.064,16.9895,2.16e-05,5.2941,3.76472,22.3859,0.273815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05,20.9129,51.3801,0.0134213,4.65225,28.9612,34.6289,0.392322,0.209668,21.0888,4.22958,41.7881,16.99,2.013e-05,5.40129,3.78949,22.4089,0.262687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06,20.7229,53.2543,0.013446,4.75765,28.9993,35.3907,0.405528,0.21172,21.2917,4.30736,42.5948,17.0845,1.926e-05,5.43363,3.88491,23.1439,0.264834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07,20.0164,52.3835,0.0134428,4.71919,29.0471,35.0889,0.398342,0.213679,21.5435,4.1915,42.6287,16.8987,1.946e-05,5.443,3.8449,22.9549,0.267198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08,20.3568,52.8345,0.0134552,4.71248,29.1019,35.0532,0.405375,0.213478,21.9256,4.14758,42.3479,16.8814,1.968e-05,5.455,3.79663,22.7341,0.260233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09,20.5282,52.6283,0.0135205,4.74716,29.2591,35.3713,0.405138,0.214521,22.2266,4.21589,42.658,17.0806,1.924e-05,5.47267,3.87435,22.9429,0.266963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10,20.8882,52.5886,0.0134572,4.84055,29.2224,36.0312,0.410312,0.217488,23.0116,4.30368,42.9128,17.277,1.942e-05,5.43157,3.97416,23.1997,0.263835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11,21.4734,52.6466,0.0132084,4.92847,28.7655,36.6472,0.416168,0.217885,23.5012,4.48837,42.9682,17.2922,1.948e-05,5.34595,4.0472,23.9513,0.270964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12,21.8413,53.2506,0.0128957,5.02366,28.1496,37.3264,0.430817,0.216452,23.6631,4.60051,43.1156,17.1581,1.962e-05,5.25728,4.18613,24.6084,0.273244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01,21.6468,53.4967,0.0127492,5.08497,27.7487,37.8409,0.452744,0.213438,23.0452,4.59058,42.9505,16.9966,,5.12337,4.19272,24.5238,0.270587,20.6925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
