name,salary_from,salary_to,salary_currency,area_name,published_at
Менеджер по продажам комплексных решений,,1000.0,USD,Москва,2003-12-01T16:16:04+0300
Инженер систем связи,,500.0,USD,Москва,2003-12-01T16:27:34+0300
Старший специалист в отдел тестирования,,1000.0,USD,Москва,2003-12-04T13:34:56+0300
UNIX Administrator\DBA\Application admin,,2000.0,USD,Москва,2004-05-27T15:03:41+0400
"Продакт-менеджер (серверное направление: HP, SUN, IBM)",,1200.0,USD,Москва,2004-07-15T11:19:32+0400
Ведущий специалист (системный администратор),,,,Москва,2004-08-03T11:07:34+0400
Программист на создание банковской отчетности (Ikh-KB-Prog/2),,1500.0,USD,Москва,2004-08-06T15:51:12+0400
Инженер контроля,,600.0,USD,Москва,2004-08-09T11:24:25+0400
Программист-разработчик,,,,Москва,2004-08-23T20:34:55+0400
Project Manager,,,,Москва,2004-03-30T00:00:00+0400
МАРКЕТОЛОГ,,600.0,USD,Москва,2004-01-20T14:30:34+0300
Программист C,,,,Москва,2004-12-30T10:57:27+0300
Technical Assistant,,2000.0,USD,Москва,2004-09-02T17:26:25+0400
Тест,,,,Москва,2004-09-13T13:17:06+0400
Технолог/Бизнес-аналитик продуктов и услуг,,,,Москва,2004-05-31T00:00:00+0400
Начальник отдела рекламы.,,,,Москва,2005-09-09T18:44:08+0400
Бизнес/Системный аналитик (код: FB/SA-Re),,,,Москва,2005-09-09T18:50:46+0400
Консультант по бухгалтерскому учету,,2500.0,USD,Москва,2005-09-12T12:43:00+0400
Специалист отдела внедрения банковских систем,,1100.0,USD,Россия,2005-09-19T13:30:43+0400
IT специалист в среде Lotus Domino,,,,Москва,2005-11-07T11:30:17+0300
Специалист по оборудованию SDH,700.0,1000.0,USD,Москва,2005-12-20T10:13:02+0300
Стажер в Отдел Маркетинга ИТ-компании,400.0,600.0,USD,Москва,2005-11-21T11:42:56+0300
Системный инженер по телефонии,,1300.0,USD,Москва,2005-09-15T16:38:53+0400
Инженер- электронщик,,730.0,USD,Санкт-Петербург,2005-07-06T15:12:41+0400
Инженер по разработке новых продуктов,,,,Москва,2005-03-01T17:36:05+0300
Менеджер по продажам,,900.0,USD,Екатеринбург,2005-05-27T13:54:53+0400
Разработчик C++,,,,Москва,2005-04-11T12:41:02+0400
Специалист по технической поддержке,,1500.0,USD,Москва,2005-06-01T13:17:28+0400
Marketing Specialist (NN),,,,Нижний Новгород,2005-02-28T14:51:45+0300
ABAP программист на внутренний проект,2000.0,2500.0,USD,Москва,2005-12-06T10:45:30+0300
Product Manager,,,,Москва,2005-12-09T17:34:22+0300
Ведущий/старший специалист Управления перспективного развития Картцентра,1900.0,2200.0,USD,Москва,2005-12-14T09:38:40+0300
Менеджер региона,1500.0,1600.0,USD,Москва,2005-12-27T15:16:58+0300
Ведущий инженер по контролю качества,1500.0,3000.0,USD,Волгоград,2005-12-21T17:40:24+0300
Инсталл-инженер,2000.0,3000.0,USD,Тверь,2005-12-23T17:43:36+0300
Системный администратор,1000.0,1000.0,USD,Москва,2005-12-23T17:49:13+0300
Key account менеджер,,2500.0,USD,Москва,2005-02-21T12:58:05+0300
Interactive Consultancy Manager,,1800.0,USD,Москва,2005-04-05T12:08:45+0400
Ведущий технический специалист отдела эксплуатации коммутационной подсистемы,,2000.0,USD,Москва,2005-02-09T10:16:53+0300
"Product Manager (серверы, хранилища данных)",,,,Киев,2005-08-03T18:41:52+0400
Программист клиент-серверных приложений,,1500.0,USD,Москва,2005-08-25T10:22:07+0400
Директор дочернего предприятия в г. Нижний Новгород,,2400.0,USD,Нижний Новгород,2005-09-13T16:06:37+0400
"Консультант по Axapte, Navision",,2500.0,USD,Москва,2005-09-30T16:36:52+0400
Системный администратор,,800.0,USD,Киев,2005-08-19T13:46:54+0400
Консультант по внедрению / архитектор системы документооборота,,2500.0,USD,Москва,2005-01-12T10:15:13+0300
Ведущий программист-разработчик,,1500.0,USD,Москва,2005-04-05T11:40:33+0400
Infrastructure Systems Management Services Specialist,,2500.0,USD,Москва,2005-04-14T18:10:20+0400
SAP PP (Production Planning) functional specialist,,,,Москва,2005-04-15T14:02:35+0400
Программист Oracle,,1500.0,USD,Москва,2005-06-14T09:48:32+0400
Тестировщик,,1500.0,USD,Москва,2005-05-12T20:10:20+0400
Специалист по тестированию/QA Engineer,,1000.0,USD,Москва,2005-06-29T17:15:54+0400
Менеджер по работе с ключевыми клиентами,,,,Москва,2005-07-01T10:00:01+0400
Секретарь,,250.0,USD,Киев,2005-06-07T17:55:23+0400
Системный Администратор,600.0,1000.0,USD,Москва,2005-10-18T19:16:46+0400
Системный администратор MS Windows 95-2003,600.0,700.0,USD,Москва,2005-11-15T10:08:39+0300
Системный администратор,1000.0,1200.0,USD,Москва,2005-10-25T11:13:51+0400
Программист Navision,,1500.0,USD,Москва,2005-09-26T16:48:51+0400
Web-мастер в крупную компьютерную компанию,,,,Москва,2005-08-29T13:21:13+0400
Менеджер по продажам MBS Navision,,,,Москва,2006-02-27T15:17:06+0300
Инженер службы технической поддержки vas и nms систем (переезд),1500.0,,USD,Новосибирск,2006-04-14T13:07:36+0400
Консультант-преподаватель со знанием английского языка,1500.0,2400.0,USD,Москва,2006-05-22T10:43:34+0400
Программист,700.0,800.0,USD,Москва,2006-04-18T13:46:28+0400
Presale инженер по вычислительным системам и системам хранения данных,,,,Екатеринбург,2006-04-21T18:55:08+0400
Оператор технической поддержки,,,,Москва,2006-06-05T20:23:43+0400
Unix tester,600.0,1000.0,USD,Москва,2006-06-06T14:43:45+0400
Системный администратор в IT - компанию (разработка и внедрение ПО),,1000.0,USD,Москва,2006-06-13T17:39:20+0400
Сетевой инженер,1300.0,1800.0,USD,Москва,2006-06-08T17:14:40+0400
Ведущий системный инженер в группу СИП,2500.0,3300.0,USD,Москва,2006-10-16T17:28:28+0400
Quality Assurance Engineer,1000.0,,USD,Санкт-Петербург,2006-12-26T12:08:37+0300
Менеджер по закупке компьютерной техники на внешнем рынке,,,,Москва,2006-01-30T10:16:26+0300
Инженер-проектировщик (радиосвязь).,,1200.0,USD,Москва,2006-03-27T10:08:33+0400
Старший инженер – программист,,,,Курск,2006-03-02T19:17:48+0300
"Channel Sales Manager – IP-PBX, Call Centers, Enterprise telecommunication",,,,Москва,2006-02-17T14:49:04+0300
Тестировщик ПО,,,,Москва,2006-01-30T14:54:38+0300
Помощник системного администратора,,,,Москва,2006-03-04T18:47:39+0300
Программист,1500.0,2200.0,USD,Москва,2006-12-08T12:01:57+0300
Программист,1000.0,,USD,Москва,2006-12-08T13:39:55+0300
Руководитель проекта внедрения WMS,,,,Москва,2006-12-08T16:46:35+0300
Старший менеджер департамента информационных технологий,,,,Москва,2006-06-22T10:30:24+0400
Инженер по системам интеллектуального управления инженерными комплексами современных зданий,,,,Москва,2006-03-03T16:29:53+0300
Программист,,1200.0,USD,Москва,2006-02-28T11:08:09+0300
Специалист технической поддержки (Help Desk),800.0,,USD,Москва,2006-03-09T17:32:14+0300
Помощник в отдел маркетинга,400.0,,USD,Москва,2006-01-10T10:09:22+0300
Performance Analysis engineer,,,,Санкт-Петербург,2006-01-16T10:14:22+0300
Аналитик-проектировщик,,,,Москва,2006-04-03T13:51:09+0400
Инженер-программист (рассматриваются резюме выпускников и студентов старших курсов),1000.0,1500.0,USD,Москва,2006-04-10T16:24:58+0400
Инженер ( RISC – серверы ),,,,Москва,2006-10-03T12:02:03+0400
"Аналитик, направление ""Аналитические системы""",800.0,1500.0,USD,Москва,2006-08-17T10:34:33+0400
Инструктор по базовым технологиям Oracle,,,,Москва,2006-04-07T15:46:16+0400
Менеджер проектов,1200.0,1800.0,USD,Москва,2006-04-12T21:10:09+0400
Менеджер проекта Mail.Ru Агент,,,,Москва,2006-03-01T20:04:32+0300
Менеджер по продажам (без поиска),,,,Москва,2006-03-02T11:33:10+0300
HTML-верстальщик,,1000.0,USD,Москва,2006-08-31T17:49:47+0400
Deployment engineer,,,,Москва,2006-04-05T12:37:00+0400
Главный специалист (функционально- Заместитель начальника отдела) Управления информационных технологий,,,,Москва,2006-12-04T09:46:18+0300
Программист- разработчик,1400.0,2000.0,USD,Москва,2006-11-30T12:04:53+0300
Специалист по выдаче товара (компьютерная техника),270.0,600.0,USD,Самара,2006-09-20T17:11:41+0400
ABAP - программист SAP R/3,,,,Москва,2006-08-30T17:41:09+0400
Программист.NET,1400.0,1800.0,USD,Москва,2006-08-24T14:57:55+0400
Test Leader,,,,Москва,2006-11-27T11:53:04+0300
Консультант по производству и логистике (внедрение ERP-систем),600.0,1200.0,USD,Киев,2006-08-29T18:31:19+0400
Старший консультант SAP R/3 (FI – налоговый учет) - контракт – 1 год,9000.0,11000.0,USD,Россия,2006-09-29T17:32:09+0400
Менеджер по продажам,600.0,1000.0,USD,Москва,2006-10-11T11:46:30+0400
Ассистент менеджера по продажам,,450.0,USD,Москва,2006-12-05T17:40:51+0300
Системный администратор,500.0,,USD,Казань,2006-10-24T16:08:21+0400
Local banking system reconciliation Engineer,2000.0,3000.0,USD,Москва,2006-10-13T15:04:26+0400
Менеджер по продажам,600.0,1000.0,USD,Москва,2006-04-26T15:06:43+0400
IT-инженер,1000.0,1000.0,USD,Москва,2006-02-10T12:28:59+0300
Менеджер по продажам,500.0,1000.0,USD,Москва,2006-03-13T13:08:09+0300
Executive outsourcing project manager,5000.0,7000.0,USD,Москва,2006-08-14T18:17:57+0400
Менеджер по продажам,600.0,1000.0,USD,Москва,2006-08-17T17:32:40+0400
Специалист по информационой безопасности банка,,,,Москва,2006-08-17T18:33:48+0400
"PDK pCell development, 5+ years of experience",,,,Москва,2006-11-07T12:26:33+0300
Эксперт по внедрению автоматизированной банковской системы,500.0,1000.0,USD,Москва,2006-09-19T15:18:14+0400
Специалист по технической поддержке,1300.0,,USD,Москва,2006-10-16T18:14:05+0400
"Cпециалист/ ведущий специалист (VBA, SQL, ORACLE) по разработке и поддержке систем (управленческая отчетность)",,,,Москва,2006-09-19T10:28:48+0400
Руководитель проекта по внедрению и сопровождению системы дистанционного банковского обслуживания,2500.0,,USD,Москва,2006-11-17T16:21:21+0300
"Координатор проектов, помощник руководителя",,,,Москва,2006-03-31T11:41:00+0400
Java-программист,300.0,600.0,USD,Смоленск,2006-04-25T23:21:15+0400
Системный администратор,800.0,800.0,USD,Москва,2006-03-27T12:53:14+0400
